,SN,tonnage,starttime,endtime,days,YOM,Control error,Average eta,Average eta 80,Average eta 90,Average eta GV 50,kWh,ES,total runhour,runhours
0,1913Q22565,653.802253062401,2022-01-14 18:45:00,2023-11-21 17:30:00,675.9479166666666,2013.0,0.0001321003963011889,0.6457955910661838,0.7503198532680311,0.7687298936179224,0.7825638440842698,600770.125,202023.37256499784,,
0,2301Q65746,325.16524642632436,2022-11-18 00:15:00,2023-12-24 23:30:00,401.96875,,0.0006513748662355186,0.7459770592078524,0.8497998751159284,0.9008866177089215,0.8233608586913828,466244.20819187164,123290.71069692247,102541.8671875,8230.546875
0,2511Q20862,330.34215404791723,2022-01-06 05:15:00,2023-12-24 22:30:00,717.71875,,0.0005551590134031248,0.7206063101391557,0.791029000749955,0.7966029746668304,0.8728753795818804,313159.25,87954.40984099387,33387.9,17567.600000000002
0,2608Q18009,334.6735696123318,2022-02-13 23:45:00,2023-12-06 23:30:00,660.9895833333334,,0.004103479036574487,0.5911378020786713,0.7211081394282629,0.7296489145122269,0.7372279040097507,380745.47500000003,151046.20251028996,10497.3,4474.199999999999
0,2619Q27626,316.58240906275006,2022-01-01 00:30:00,2023-12-22 21:45:00,720.8854166666666,,0.0007221085569864003,0.6615495048855041,0.8293736437098617,,,279195.65,87521.70225326926,27523.9,13097.100000000002
0,4004Q69950,316.69506229082117,2022-08-25 19:00:00,2023-12-24 23:45:00,486.1979166666667,,0.0,0.8166870012725284,0.9753445588447033,0.9595377740353899,0.9807478812896724,618719.1354751587,97430.9724324922,28538.197265625,8794.037109375
0,4415Q24810,765.5345531065716,2022-02-23 19:30:00,2023-12-24 23:15:00,669.15625,,0.00040324903508266605,0.8141605010393528,0.8944419631448679,0.9170922973095179,0.8969446457328136,1298672.0,217193.4197204063,56507.6,13864.099999999999
0,4998J59038,862.2918042341641,2023-01-06 00:00:00,2023-08-15 15:00:00,221.625,1998.0,0.005847953216374269,0.7592317704015932,0.8392703158600174,,0.796081277882069,599764.8619499207,137468.84889180172,53468.78515625,2500.21875
0,5111Q21335,741.1359986763518,2022-09-27 19:30:00,2023-12-24 23:45:00,453.1770833333333,,0.0,0.6535380376646042,0.6565778071929694,0.647388374067646,0.631777994654717,1105146.8186264038,384924.640761741,53112.7734375,8088.015625
0,5200Q64908,561.5118251428145,2022-09-12 04:00:00,2024-01-02 23:45:00,477.8229166666667,,0.0010333863275039745,0.6449728787241481,,,,604181.2112045288,211836.9918191189,79334.25,6510.28125
